datetime,pwater
2013-12-30 00:00:00,0.9841
2013-12-30 01:00:00,0.9665
2013-12-30 02:00:00,0.9610
2013-12-30 03:00:00,0.9830
2013-12-30 04:00:00,0.9466
2013-12-30 05:00:00,0.8534
2013-12-30 06:00:00,0.7372
2013-12-30 07:00:00,0.5782
2013-12-30 08:00:00,0.3867
2013-12-30 09:00:00,0.2373
2013-12-30 10:00:00,0.1658
2013-12-30 11:00:00,0.1348
2013-12-30 12:00:00,0.1185
2013-12-30 13:00:00,0.1143
2013-12-30 14:00:00,0.1145
2013-12-30 15:00:00,0.1162
2013-12-30 16:00:00,0.1250
2013-12-30 17:00:00,0.1416
2013-12-30 18:00:00,0.1630
2013-12-30 19:00:00,0.1851
2013-12-30 20:00:00,0.2005
2013-12-30 21:00:00,0.2185
2013-12-30 22:00:00,0.2379
2013-12-30 23:00:00,0.2492
2013-12-31 00:00:00,0.2624
2013-12-31 01:00:00,0.2738
2013-12-31 02:00:00,0.2825
2013-12-31 03:00:00,0.2937
2013-12-31 04:00:00,0.3069
2013-12-31 05:00:00,0.3180
2013-12-31 06:00:00,0.3246
2013-12-31 07:00:00,0.3290
2013-12-31 08:00:00,0.3333
2013-12-31 09:00:00,0.3385
2013-12-31 10:00:00,0.3469
2013-12-31 11:00:00,0.3551
2013-12-31 12:00:00,0.3564
2013-12-31 13:00:00,0.3515
2013-12-31 14:00:00,0.3478
2013-12-31 15:00:00,0.3474
2013-12-31 16:00:00,0.3426
2013-12-31 17:00:00,0.3303
2013-12-31 18:00:00,0.3116
2013-12-31 19:00:00,0.2930
2013-12-31 20:00:00,0.2735
2013-12-31 21:00:00,0.2512
2013-12-31 22:00:00,0.2334
2013-12-31 23:00:00,0.2285
2014-01-01 00:00:00,0.2371
2014-01-01 01:00:00,0.2462
2014-01-01 02:00:00,0.2492
2014-01-01 03:00:00,0.2487
2014-01-01 04:00:00,0.2476
2014-01-01 05:00:00,0.2472
2014-01-01 06:00:00,0.2467
2014-01-01 07:00:00,0.2444
2014-01-01 08:00:00,0.2349
2014-01-01 09:00:00,0.2208
2014-01-01 10:00:00,0.2096
2014-01-01 11:00:00,0.2097
2014-01-01 12:00:00,0.2187
2014-01-01 13:00:00,0.2264
2014-01-01 14:00:00,0.2327
2014-01-01 15:00:00,0.2413
2014-01-01 16:00:00,0.2539
2014-01-01 17:00:00,0.2672
2014-01-01 18:00:00,0.2816
2014-01-01 19:00:00,0.2913
2014-01-01 20:00:00,0.2896
2014-01-01 21:00:00,0.2778
2014-01-01 22:00:00,0.2590
2014-01-01 23:00:00,0.2506
2014-01-02 00:00:00,0.2538
2014-01-02 01:00:00,0.2613
2014-01-02 02:00:00,0.2665
2014-01-02 03:00:00,0.2750
2014-01-02 04:00:00,0.2862
2014-01-02 05:00:00,0.2966
2014-01-02 06:00:00,0.2998
2014-01-02 07:00:00,0.3009
2014-01-02 08:00:00,0.3020
2014-01-02 09:00:00,0.3023
2014-01-02 10:00:00,0.3042
2014-01-02 11:00:00,0.3104
2014-01-02 12:00:00,0.3191
2014-01-02 13:00:00,0.3269
2014-01-02 14:00:00,0.3332
2014-01-02 15:00:00,0.3428
2014-01-02 16:00:00,0.3522
2014-01-02 17:00:00,0.3563
2014-01-02 18:00:00,0.3597
2014-01-02 19:00:00,0.3610
2014-01-02 20:00:00,0.3579
2014-01-02 21:00:00,0.3503
2014-01-02 22:00:00,0.3411
2014-01-02 23:00:00,0.3337
2014-01-03 00:00:00,0.3227
2014-01-03 01:00:00,0.3108
2014-01-03 02:00:00,0.2982
2014-01-03 03:00:00,0.2855
2014-01-03 04:00:00,0.2696
2014-01-03 05:00:00,0.2479
2014-01-03 06:00:00,0.2190
2014-01-03 07:00:00,0.1841
2014-01-03 08:00:00,0.1474
2014-01-03 09:00:00,0.1163
2014-01-03 10:00:00,0.0922
2014-01-03 11:00:00,0.0760
2014-01-03 12:00:00,0.0685
2014-01-03 13:00:00,0.0659
2014-01-03 14:00:00,0.0666
2014-01-03 15:00:00,0.0717
2014-01-03 16:00:00,0.0790
2014-01-03 17:00:00,0.0901
2014-01-03 18:00:00,0.1075
2014-01-03 19:00:00,0.1301
2014-01-03 20:00:00,0.1563
2014-01-03 21:00:00,0.1843
2014-01-03 22:00:00,0.2143
2014-01-03 23:00:00,0.2529
2014-01-04 00:00:00,0.2980
2014-01-04 01:00:00,0.3490
2014-01-04 02:00:00,0.4115
2014-01-04 03:00:00,0.4777
2014-01-04 04:00:00,0.5438
2014-01-04 05:00:00,0.6115
2014-01-04 06:00:00,0.6927
2014-01-04 07:00:00,0.7695
2014-01-04 08:00:00,0.7817
2014-01-04 09:00:00,0.7467
2014-01-04 10:00:00,0.7287
2014-01-04 11:00:00,0.6940
2014-01-04 12:00:00,0.6747
2014-01-04 13:00:00,0.6811
2014-01-04 14:00:00,0.7062
2014-01-04 15:00:00,0.7513
2014-01-04 16:00:00,0.8088
